institutionCode,variable,counts
UTEP,has_countryCode,83880
UTEP,has_coordinates,33833
UTEP,has_image,290
UTEP,has_dateIdentified,68771
UTEP,has_identifiedBy,83896
UTEP,has_recordedBy,83894
UTEP,has_eventDate,83896
UMMZ,total,16
UMMZ,has_collectionCode,16
UMMZ,has_catalogNumber,16
UMMZ,has_speciesKey,15
UMMZ,has_scientificName,16
UMMZ,has_acceptedNameUsage,0
UMMZ,has_locality,15
UMMZ,has_higherGeography,0
UMMZ,has_countryCode,15
UMMZ,has_coordinates,3
UMMZ,has_image,0
UMMZ,has_dateIdentified,0
UMMZ,has_identifiedBy,0
UMMZ,has_recordedBy,14
UMMZ,has_eventDate,1
CAS,total,595732
CAS,has_collectionCode,595732
CAS,has_catalogNumber,595732
CAS,has_speciesKey,571333
CAS,has_scientificName,595732
CAS,has_acceptedNameUsage,0
CAS,has_locality,595685
CAS,has_higherGeography,595028
CAS,has_countryCode,594726
CAS,has_coordinates,121184
CAS,has_image,15807
CAS,has_dateIdentified,162666
CAS,has_identifiedBy,172584
CAS,has_recordedBy,594970
CAS,has_eventDate,587761
USA937,total,2542
USA937,has_collectionCode,2542
USA937,has_catalogNumber,2542
USA937,has_speciesKey,2542
USA937,has_scientificName,2542
USA937,has_acceptedNameUsage,0
USA937,has_locality,0
USA937,has_higherGeography,0
USA937,has_countryCode,0
USA937,has_coordinates,0
USA937,has_image,0
USA937,has_dateIdentified,0
USA937,has_identifiedBy,0
USA937,has_recordedBy,0
USA937,has_eventDate,0
NWOSU,total,94
NWOSU,has_collectionCode,94
NWOSU,has_catalogNumber,94
NWOSU,has_speciesKey,94
NWOSU,has_scientificName,94
NWOSU,has_acceptedNameUsage,0
NWOSU,has_locality,0
NWOSU,has_higherGeography,0
NWOSU,has_countryCode,0
NWOSU,has_coordinates,0
NWOSU,has_image,0
NWOSU,has_dateIdentified,0
